region,future_scenario,future_period,scenario_period_label,municipalities,complete_predictions,median_current_rate_annual_100k,median_future_rate_annual_100k,median_future_minus_current_rate_annual_100k,median_percent_change_from_current,municipalities_higher_than_current,municipalities_lower_than_current
Central-West,245,2041-2060,SSP245 | 2041-2060,467,459,0.0437,0.0746,0.0308,83.6081,458,1
North,245,2041-2060,SSP245 | 2041-2060,450,437,0.0439,0.0882,0.0419,86.2842,435,2
Northeast,245,2041-2060,SSP245 | 2041-2060,1794,1723,0.024,0.0361,0.0119,57.4416,1702,21
South,245,2041-2060,SSP245 | 2041-2060,1191,1117,0.0142,0.0201,0.0055,38.2968,1099,18
Southeast,245,2041-2060,SSP245 | 2041-2060,1668,1549,0.0619,0.094,0.03,49.7236,1525,24
Central-West,245,2061-2080,SSP245 | 2061-2080,467,459,0.0437,0.0809,0.0342,90.1191,459,0
North,245,2061-2080,SSP245 | 2061-2080,450,437,0.0439,0.0976,0.0487,101.1442,437,0
Northeast,245,2061-2080,SSP245 | 2061-2080,1794,1723,0.024,0.0387,0.0144,69.8011,1702,21
South,245,2061-2080,SSP245 | 2061-2080,1191,1117,0.0142,0.0218,0.0073,50.7263,1106,11
Southeast,245,2061-2080,SSP245 | 2061-2080,1668,1549,0.0619,0.101,0.037,60.111,1534,15
Central-West,585,2041-2060,SSP585 | 2041-2060,467,459,0.0437,0.0895,0.0437,120.2141,459,0
North,585,2041-2060,SSP585 | 2041-2060,450,437,0.0439,0.116,0.0667,128.0019,437,0
Northeast,585,2041-2060,SSP585 | 2041-2060,1794,1723,0.024,0.0434,0.0188,87.5189,1713,10
South,585,2041-2060,SSP585 | 2041-2060,1191,1117,0.0142,0.0209,0.0062,43.7156,1097,20
Southeast,585,2041-2060,SSP585 | 2041-2060,1668,1549,0.0619,0.106,0.0409,66.7549,1539,10
Central-West,585,2061-2080,SSP585 | 2061-2080,467,459,0.0437,0.1202,0.0774,209.2499,459,0
North,585,2061-2080,SSP585 | 2061-2080,450,437,0.0439,0.2011,0.1382,225.6374,437,0
Northeast,585,2061-2080,SSP585 | 2061-2080,1794,1723,0.024,0.0558,0.0317,146.5506,1721,2
South,585,2061-2080,SSP585 | 2061-2080,1191,1117,0.0142,0.0254,0.0108,76.7812,1111,6
Southeast,585,2061-2080,SSP585 | 2061-2080,1668,1549,0.0619,0.1354,0.0705,113.5773,1547,2
